Fulford, K. W. M. => Fulford, K. W. M.
Furash, G. => Furash, Gary
Furlong, E. J => Furlong, E. J
Furlong, E. J. => Furlong, E. J.
Furlong, F. W. => Furlong, F. W.
Gaito, J. => Gaito, J.
Gallie, W. B => Gallie, W. B
Gamble, D. D => Gamble, Denise D
Gampel, E. H. => Gampel, E. H.
Gardiner, P. L => Gardiner, P. L
Garon, J. => Garon, J.
Garson, J. W. => Garson, James W.
Garvey, J. C => Garvey, James C
Garvey, J. => Garvey, J.
Garzon, F. C. => Garzon, Francisco C.
Gasson, J. A => Gasson, J. A
Gaviola, E. => Gaviola, E.
Geach, P. T => Geach, Peter T
Genova, A. C => Genova, A. C
Georgalis, N. => Georgalis, Nicholas
George, A. => George, A.
George, F. => George, F.
George, F. H => George, F. H
German, T. P. => German, T. P.
Gianfranco, S. => Gianfranco, S.
Gibbard, A. => Gibbard, Allan
Gibb, S. C. => Gibb, S. C.
Gibson, M. => Gibson, M.
Gibson, M. I. => Gibson, M. I.
Gillett, G. R => Gillett, Grant R
Gill, J. H. => Gill, J. H.
Girle, R. A. => Girle, R. A.
Glasgow, J. I. => Glasgow, J. I.
Glasgow, W. D. => Glasgow, W. D.
Gledhill, A. R => Gledhill, A. R
Glennan, S. S. => Glennan, Stewart S.
Glock, H. => Glock, Hans-Johann
Glock, H. J. => Glock, Hans-Johann
Gluer, K. => Gluer, Kathrin
Goddu, G. C => Goddu, G. C
Goel, A. => Goel, A.
Goel, V. => Goel, Vinod
Goguen, J. => Goguen, Joseph
Gois, I. => Gois, I.
Goldman, A. => Goldman, Alvin
Goodenough, J. M. => Goodenough, J. M.
Good, I. J => Good, I. J
Good, I. J. => Good, I. J.
Goodman, R. => Goodman, R.
Gorman, M. => Gorman, M.
Goschke, T. => Goschke, T.
Gosling, J. C => Gosling, J. C
Gottlieb, D. F. => Gottlieb, D. F.
Gould, C. G. => Gould, C. G.
Gould, J. L. => Gould, J. L.
Graham, G. => Graham, G.
Graham, J. L => Graham, J. L
Grant, C. K => Grant, C. K
Grantham, T. A. => Grantham, T. A.
Gray, J. => Gray, J.
Gray, R. => Gray, R.
Greenberg, A. R => Greenberg, A. R
Greenberg, W. => Greenberg, W.
Greene, R. => Greene, R.
Green, O. H => Green, O. H
Greenway, A. P => Greenway, A. P
Greenwood, J. D. => Greenwood, J. D.
Greidanus, J. H => Greidanus, J. H
Grice, H. P => Grice, H. P
Griffiths, A. P. => Griffiths, A. P.
Grimaltos, T. => Grimaltos, T.
Grimes, T. => Grimes, T.
Gschaider, A. => Gschaider, A.
Gupta, A. => Gupta, Anil
Gupta, K. C => Gupta, K. C
Guthrie, E. R. => Guthrie, E. R.
Hacker, P. => Hacker, P.
Hacker, P. M S. => Hacker, P. M S.
Hacker, P. M. S. => Hacker, P. M. S.
Hacker, R. S. => Hacker, R. S.
Haight, M. => Haight, M.
Haight, M. R => Haight, M. R
Hajek, A. => Hajek, A.
Haldane, J. => Haldane, J.
Haldane, J. J. => Haldane, J. J.
Hall, L. => Hall, L.
Hall, R. => Hall, R.
Halverson, W. H => Halverson, W. H
Hamilton, A. => Hamilton, A.
Hampson, P. J => Hampson, P. J
Hampson, P. J. => Hampson, P. J.
Hannay, B. => Hannay, B.
Hanson, P. P. => Hanson, P. P.
Hanson, W. => Hanson, W.
Happe, F. => Happe, F.
Hardie, C. D. => Hardie, C. D.
Hardin, W. J => Hardin, W. J
Harman, G. => Harman, Gilbert
Harrell, M. => Harrell, M.
Harre, R. => Harre, Rom
Harris, H. => Harris, H.
Harrison, J. => Harrison, J.
Harrison, P. => Harrison, P.
Harris, P. F => Harris, P. F
Harrod, R. F => Harrod, R. F
Hartelius, G. => Hartelius, G.
Hart, W. D. => Hart, W. D.
Harvey, J. => Harvey, J.
Harzem, P. => Harzem, P.
Haselager, W. F G. => Haselager, W. F G.
Hassrick, B. => Hassrick, B.
Hausman, D. B => Hausman, D. B
Hawthorne, J. => Hawthorne, John
Haybron, D. M. => Haybron, Daniel M.
Hayes, P. => Hayes, Patrick
Hayes, P. J. => Hayes, P. J.
Hayward, M. B. => Hayward, M. B.
Hazen, A. P. => Hazen, Allen P.
Heard, D. => Heard, D.
Hearnshaw, L. S => Hearnshaw, L. S
Heath Bawden, H. => Heath Bawden, H.
Heck, R. G. => Heck, Richard G.
Heinemann, F. H => Heinemann, F. H
Heller, M. => Heller, Mark
Hendel, C. W. => Hendel, C. W.
Henderson, D. => Henderson, David
Hendrichs, H. => Hendrichs, H.
Hendriks-Jansen, H. => Hendriks-Jansen, H.
Henrich, J. => Henrich, J.
Herbert, R. T. => Herbert, R. T.
Herrstein, R. => Herrstein, R.
Herstein, G. L. => Herstein, G. L.
Hess, P. => Hess, P.
Hilgard, E. R. => Hilgard, E. R.
Hill, C. => Hill, Christopher S.
Hillis, D. => Hillis, D.
Hinckfuss, I. C => Hinckfuss, Ian C
Hinshelwood, R. D => Hinshelwood, R. D
Hirsch, E. => Hirsch, Eli
Hirst, R. J => Hirst, R. J
Hobart, R. E. => Hobart, R. E.
Hobson, J. A. => Hobson, J. A.
Hockutt, M. => Hockutt, M.
Hodgson, D. => Hodgson, David M.
Hoffman, C. A. => Hoffman, C. A.
Hoffman, P. => Hoffman, P.
Holborow, L. C => Holborow, L. C
Holborow, L. C. => Holborow, L. C.
Holland, A. => Holland, A.
Holland, R. F. => Holland, R. F.
Hollingworth, H. L. => Hollingworth, H. L.
Holly, W. J => Holly, W. J
Holmes, S. J => Holmes, S. J
Holtzman, S. => Holtzman, S.
Hooker, C. A. => Hooker, C. A.
Hope, V. => Hope, V.
Howard, D. J. => Howard, D. J.
Howard, G. S. => Howard, G. S.
Howarth, J. M => Howarth, J. M
Howsepian, A. A => Howsepian, A. A
Hubbard, T. L. => Hubbard, T. L.
Hubin, D. C. => Hubin, D. C.
Huda, M. => Huda, M.
Humberstone, I. L => Humberstone, I. L
Humberstone, I. L. => Humberstone, I. L.
Hum, D. D. => Hum, D. D.
Humphrey, J. => Humphrey, J.
Humphrey, N. => Humphrey, Nicholas
Hunter, D. => Hunter, D.
Hunter, J. F M. => Hunter, J. F M.
Hurley, S. L => Hurley, Susan L
Hurley, S. L. => Hurley, Susan L.
Hutchings, P. A => Hutchings, P. A
Hutchins, E. => Hutchins, E.
Huttemann, A. => Huttemann, A.
Hutton, A. => Hutton, A.
Huxley, T. => Huxley, T.
Hyland, M. E. => Hyland, M. E.
Hyslop, A. => Hyslop, Alec
Ikegami, T. => Ikegami, T.
Imlay, R. A. => Imlay, R. A.
Ingram-Pearson, C. W => Ingram-Pearson, C. W
Irani, K. D => Irani, K. D
Irani, K. S. => Irani, K. S.
Irvine, A. D. => Irvine, A. D.
Ivet, P. => Ivet, P.
Jackson, F. C => Jackson, Frank C
Jackson, F. C. => Jackson, Frank C.
Jackson, F. => Jackson, Frank C.
Jackson, K. => Jackson, K.
Jacoby, H. => Jacoby, Henry
James, W. => James, William
Jaworksi, W. => Jaworksi, W.
Jeannerod, M. => Jeannerod, Marc
Jehle, D. => Jehle, D.
Jessor, R. => Jessor, R.
Joad, C. E M. => Joad, C. E. M.
Johnsen, B. => Johnsen, Bredo
Johnson, A. H => Johnson, A. H
Johnson, D. => Johnson, D.
Johnson, K. => Johnson, K.
Johnson-Laird, P. => Johnson-Laird, Philip
Johnson, M. L. => Johnson, M. L.
Johnson, W. E. => Johnson, W. E.
Jones, J. => Jones, J.
Jones, J. R => Jones, J. R
Jones, J. R. => Jones, J. R.
Jones, O. => Jones, O.
Jones, O. R => Jones, O. R
Jones, W. T => Jones, W. T
Jopling, D. A. => Jopling, D. A.
Joske, W. D => Joske, William D.
Joske, W. => Joske, William D.
Joyce, P. => Joyce, P.
Kaelbling, L. P. => Kaelbling, L. P.
Kaernbach, C. => Kaernbach, C.
Kane, R. H. => Kane, R. H.
Kantor, J. R. => Kantor, J. R.
Katsafanas, P. => Katsafanas, Peter
Katz, J. => Katz, Jerrold J.
Kaufman, R. => Kaufman, R.
Kaye, L. J. => Kaye, L. J.
Kazez, J. R. => Kazez, Jean R.
Kearns, J. T. => Kearns, J. T.
Keijzer, F. A. => Keijzer, F. A.
Kekes, J. => Kekes, John
Kelly, J. S. => Kelly, J. S.
Kelly, T. => Kelly, Thomas
Kenny, A. J P. => Kenny, Anthony J. P.
Kenny, A. => Kenny, Anthony J. P.
Kentridge, R. W. => Kentridge, Robert W.
Kenyon, F. => Kenyon, F.
Killeen, P. R. => Killeen, P. R.
Kim, J. => Kim, Jaegwon
Kim, S. => Kim, S.
King, D. => King, D.
Kirkpatrick, E. A. => Kirkpatrick, E. A.
Kirk, R. => Kirk, Robert
Kitamura, T. => Kitamura, T.
Kitchener, R. F. => Kitchener, R. F.
Kitcher, P. S. => Kitcher, Patricia S.
Klagge, J. C. => Klagge, John C.
Klee, J. => Klee, J.
Klein, M. => Klein, M.
Kliewer, G. => Kliewer, G.
Klopfer, P. H. => Klopfer, P. H.
Kneale, W. C => Kneale, Willian C
Knight, D. => Knight, D.
Kobes, B. W. => Kobes, Bernard W.
Koch, C. => Koch, Christof
